Date : 2025-07-29 21:53:49
Directory : c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion
Total : 268 files,  44702 codes, 6984 comments, 6017 blanks, all 57703 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     11,382 |          0 |          5 |     11,387 |
| TypeScript         |         73 |     10,253 |      2,252 |      1,553 |     14,058 |
| JavaScript         |         66 |      6,972 |      4,405 |      1,163 |     12,540 |
| Markdown           |         37 |      6,800 |          4 |      2,164 |      8,968 |
| TypeScript JSX     |         70 |      6,785 |        321 |        873 |      7,979 |
| HTML               |          8 |      2,387 |          0 |        252 |      2,639 |
| PostCSS            |          1 |         91 |          2 |          6 |         99 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        268 |     44,702 |      6,984 |      6,017 |     57,703 |
| . (Files)                                                                                                      |        102 |     23,916 |      4,412 |      2,580 |     30,908 |
| .cursor                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| docs                                                                                                           |         14 |      3,039 |          0 |        860 |      3,899 |
| examples                                                                                                       |          3 |        215 |        423 |         45 |        683 |
| public                                                                                                         |          5 |          5 |          0 |          0 |          5 |
| src                                                                                                            |        143 |     17,524 |      2,149 |      2,532 |     22,205 |
| src (Files)                                                                                                    |          3 |        441 |         66 |         81 |        588 |
| src\ai                                                                                                         |          2 |          6 |          1 |          3 |         10 |
| src\app                                                                                                        |         36 |      3,252 |        502 |        437 |      4,191 |
| src\app (Files)                                                                                                |          3 |        139 |         22 |         11 |        172 |
| src\app\[locale]                                                                                               |          9 |        339 |         66 |         66 |        471 |
| src\app\[locale] (Files)                                                                                       |          2 |        133 |         11 |         33 |        177 |
| src\app\[locale]\archive                                                                                       |          1 |         13 |          0 |          8 |         21 |
| src\app\[locale]\login                                                                                         |          1 |         33 |         41 |          5 |         79 |
| src\app\[locale]\phase2-test                                                                                   |          1 |         10 |          6 |          3 |         19 |
| src\app\[locale]\signup                                                                                        |          1 |         64 |          1 |          8 |         73 |
| src\app\[locale]\simple-login                                                                                  |          1 |         61 |          0 |          4 |         65 |
| src\app\[locale]\test                                                                                          |          1 |         21 |          0 |          2 |         23 |
| src\app\[locale]\test-auth                                                                                     |          1 |          4 |          7 |          3 |         14 |
| src\app\api                                                                                                    |         22 |      2,770 |        414 |        357 |      3,541 |
| src\app\api\AddTask                                                                                            |          1 |         89 |         11 |         12 |        112 |
| src\app\api\AdjustScore                                                                                        |          2 |        474 |         72 |         68 |        614 |
| src\app\api\ConfirmCompletion                                                                                  |          1 |        132 |         34 |         16 |        182 |
| src\app\api\ConfirmResetCompletion                                                                             |          1 |         97 |          4 |         11 |        112 |
| src\app\api\GetAllTasks                                                                                        |          1 |        103 |         27 |         13 |        143 |
| src\app\api\InitiateCompletion                                                                                 |          1 |        165 |         35 |         20 |        220 |
| src\app\api\InternalCompletionResetTrigger                                                                     |          1 |         36 |          2 |          9 |         47 |
| src\app\api\ResetCompletionScanning                                                                            |          1 |         66 |         13 |         16 |         95 |
| src\app\api\auth                                                                                               |          6 |        807 |        131 |         96 |      1,034 |
| src\app\api\auth\login                                                                                         |          1 |        104 |         11 |         12 |        127 |
| src\app\api\auth\logout                                                                                        |          1 |        220 |         25 |         30 |        275 |
| src\app\api\auth\refresh                                                                                       |          1 |        129 |         22 |         12 |        163 |
| src\app\api\auth\signup                                                                                        |          1 |        124 |         20 |         15 |        159 |
| src\app\api\auth\token-status                                                                                  |          1 |        172 |         33 |         17 |        222 |
| src\app\api\auth\user-info                                                                                     |          1 |         58 |         20 |         10 |         88 |
| src\app\api\debug                                                                                              |          4 |        421 |         21 |         51 |        493 |
| src\app\api\debug (Files)                                                                                      |          1 |        209 |          6 |         26 |        241 |
| src\app\api\debug\auth-test                                                                                    |          1 |         66 |          6 |          8 |         80 |
| src\app\api\debug\refresh                                                                                      |          1 |        124 |          8 |         15 |        147 |
| src\app\api\debug\user-info                                                                                    |          1 |         22 |          1 |          2 |         25 |
| src\app\api\kv                                                                                                 |          1 |         13 |          0 |          3 |         16 |
| src\app\api\score                                                                                              |          2 |        367 |         64 |         42 |        473 |
| src\app\api\score\[userId]                                                                                     |          2 |        367 |         64 |         42 |        473 |
| src\app\api\score\[userId] (Files)                                                                             |          1 |        147 |         31 |         18 |        196 |
| src\app\api\score\[userId]\scoreLog                                                                            |          1 |        220 |         33 |         24 |        277 |
| src\app\archive                                                                                                |          1 |          4 |          0 |          2 |          6 |
| src\app\test-auth                                                                                              |          1 |          0 |          0 |          1 |          1 |
| src\components                                                                                                 |         54 |      5,727 |        162 |        688 |      6,577 |
| src\components (Files)                                                                                         |         19 |      2,389 |        148 |        278 |      2,815 |
| src\components\ui                                                                                              |         35 |      3,338 |         14 |        410 |      3,762 |
