Date : 2025-08-11 16:03:37
Directory : c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion
Total : 364 files,  68791 codes, 9615 comments, 9647 blanks, all 88053 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\[locale]\phase2-test                                                                                       |          1 |         10 |          6 |          3 |         19 |
| src\app\[locale]\signup                                                                                            |          1 |         64 |          1 |          8 |         73 |
| src\app\[locale]\simple-login                                                                                      |          1 |         61 |          0 |          4 |         65 |
| src\app\[locale]\test                                                                                              |          1 |         21 |          0 |          2 |         23 |
| src\app\[locale]\test-auth                                                                                         |          1 |          4 |          7 |          3 |         14 |
| src\app\api                                                                                                        |         25 |      3,306 |        506 |        423 |      4,235 |
| src\app\api\AddTask                                                                                                |          1 |         89 |         11 |         12 |        112 |
| src\app\api\AdjustScore                                                                                            |          2 |        474 |         72 |         68 |        614 |
| src\app\api\ConfirmCompletion                                                                                      |          1 |        132 |         34 |         16 |        182 |
| src\app\api\ConfirmResetCompletion                                                                                 |          1 |         97 |          4 |         11 |        112 |
| src\app\api\GetAllTasks                                                                                            |          1 |        103 |         27 |         13 |        143 |
| src\app\api\InitiateCompletion                                                                                     |          1 |        168 |         35 |         20 |        223 |
| src\app\api\InternalCompletionResetTrigger                                                                         |          1 |         36 |          2 |          9 |         47 |
| src\app\api\ResetCompletionScanning                                                                                |          1 |         95 |         28 |         18 |        141 |
| src\app\api\auth                                                                                                   |          6 |        807 |        131 |         96 |      1,034 |
| src\app\api\auth\login                                                                                             |          1 |        104 |         11 |         12 |        127 |
| src\app\api\auth\logout                                                                                            |          1 |        220 |         25 |         30 |        275 |
| src\app\api\auth\refresh                                                                                           |          1 |        129 |         22 |         12 |        163 |
| src\app\api\auth\signup                                                                                            |          1 |        124 |         20 |         15 |        159 |
| src\app\api\auth\token-status                                                                                      |          1 |        172 |         33 |         17 |        222 |
| src\app\api\auth\user-info                                                                                         |          1 |         58 |         20 |         10 |         88 |
| src\app\api\debug                                                                                                  |          5 |        510 |         37 |         61 |        608 |
| src\app\api\debug (Files)                                                                                          |          1 |        209 |          6 |         26 |        241 |
| src\app\api\debug\auth-test                                                                                        |          1 |         66 |          6 |          8 |         80 |
| src\app\api\debug\redis                                                                                            |          1 |         89 |         16 |         10 |        115 |
| src\app\api\debug\refresh                                                                                          |          1 |        124 |          8 |         15 |        147 |
| src\app\api\debug\user-info                                                                                        |          1 |         22 |          1 |          2 |         25 |
| src\app\api\kv                                                                                                     |          1 |         13 |          0 |          3 |         16 |
| src\app\api\leaderboard                                                                                            |          1 |        376 |         53 |         42 |        471 |
| src\app\api\score                                                                                                  |          2 |        367 |         64 |         42 |        473 |
| src\app\api\score\[userId]                                                                                         |          2 |        367 |         64 |         42 |        473 |
| src\app\api\score\[userId] (Files)                                                                                 |          1 |        147 |         31 |         18 |        196 |
| src\app\api\score\[userId]\scoreLog                                                                                |          1 |        220 |         33 |         24 |        277 |
| src\app\api\test-badges                                                                                            |          1 |         39 |          8 |         12 |         59 |
| src\app\archive                                                                                                    |          1 |          4 |          0 |          2 |          6 |
| src\app\debug                                                                                                      |          1 |        177 |          1 |         15 |        193 |
| src\app\debug\redis                                                                                                |          1 |        177 |          1 |         15 |        193 |
| src\app\test-auth                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| src\components                                                                                                     |         72 |     11,096 |        643 |      1,261 |     13,000 |
| src\components (Files)                                                                                             |         26 |      5,110 |        350 |        518 |      5,978 |
| src\components\__tests__                                                                                           |          3 |        556 |         59 |        105 |        720 |
| src\components\pages                                                                                               |          1 |        406 |         35 |         35 |        476 |
| src\components\ui                                                                                                  |         42 |      5,024 |        199 |        603 |      5,826 |
| src\components\ui (Files)                                                                                          |         40 |      4,697 |        192 |        531 |      5,420 |
| src\components\ui\__tests__                                                                                        |          2 |        327 |          7 |         72 |        406 |
| src\context                                                                                                        |          2 |        669 |         74 |        109 |        852 |
| src\data                                                                                                           |          1 |         93 |          1 |          6 |        100 |
| src\hooks                                                                                                          |          7 |      1,093 |        200 |        231 |      1,524 |
| src\lib                                                                                                            |         53 |     11,394 |      2,347 |      1,749 |     15,490 |
| src\lib (Files)                                                                                                    |         11 |      1,258 |        225 |        187 |      1,670 |
| src\lib\api                                                                                                        |          4 |        904 |        175 |        143 |      1,222 |
| src\lib\auth                                                                                                       |         16 |      2,816 |        685 |        546 |      4,047 |
| src\lib\auth (Files)                                                                                               |         11 |      2,174 |        567 |        387 |      3,128 |
| src\lib\auth\jwt                                                                                                   |          5 |        642 |        118 |        159 |        919 |
| src\lib\config                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| src\lib\database                                                                                                   |          1 |        395 |         99 |         46 |        540 |
| src\lib\design-system                                                                                              |          3 |        678 |         76 |         78 |        832 |
| src\lib\dev                                                                                                        |          1 |        248 |         35 |         39 |        322 |
| src\lib\gamification                                                                                               |          3 |      1,355 |        128 |        134 |      1,617 |
| src\lib\middleware                                                                                                 |          1 |        279 |         50 |         39 |        368 |
| src\lib\redis                                                                                                      |          2 |        923 |        253 |        148 |      1,324 |
| src\lib\security                                                                                                   |          7 |      2,043 |        358 |        281 |      2,682 |
| src\lib\utils                                                                                                      |          3 |        495 |        263 |        107 |        865 |
| src\lib\utils (Files)                                                                                              |          2 |        355 |        256 |         80 |        691 |
| src\lib\utils\__tests__                                                                                            |          1 |        140 |          7 |         27 |        174 |
| src\messages                                                                                                       |          2 |        645 |          0 |          2 |        647 |
| src\schemas                                                                                                        |          2 |         27 |          1 |          8 |         36 |
| src\schemas\auth                                                                                                   |          2 |         27 |          1 |          8 |         36 |
| src\types                                                                                                          |          2 |        290 |         48 |         53 |        391 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                           | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\# Code Citations.md                                     | Markdown           |      1,006 |          0 |        317 |      1,323 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\.cursor\environment.json                                | JSON               |          3 |          0 |          0 |          3 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ADMIN_ONLY_COMPLETE_LOCKDOWN.js                         | JavaScript         |         13 |        165 |          3 |        181 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ADMIN_UI_CONTROLS_COMPLETE.js                           | JavaScript         |        168 |        126 |         23 |        317 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ADMIN_UX_COMPLETE_SOLUTION.js                           | JavaScript         |         20 |        187 |          3 |        210 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\API_CLIENT_COMPARISON_ANALYSIS.md                       | Markdown           |        278 |          0 |        102 |        380 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\API_DATA_FETCHING_RESTORED.js                           | JavaScript         |         29 |        104 |          9 |        142 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ARCHIVE_COMPLETION_DATE_FIX_COMPLETE.js                 | JavaScript         |         30 |         88 |          3 |        121 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ARCHIVE_COMPLETION_DATE_TESTING_PLAN.js                 | JavaScript         |         83 |         19 |         14 |        116 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ARCHIVE_DROPDOWN_DARK_MODE_FIX.md                       | Markdown           |        182 |          0 |         57 |        239 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ARCHIVE_RESPONSIVE_ENHANCEMENT_SUMMARY.md               | Markdown           |        102 |          0 |         45 |        147 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTHENTICATION_DEBUG_MODE.js                            | JavaScript         |         19 |         95 |          9 |        123 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTHENTICATION_ERROR_HANDLING_SOLVED.md                 | Markdown           |        171 |          0 |         63 |        234 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTHENTICATION_FLOW_COMPLETE_GUIDE.md                   | Markdown           |        252 |          0 |         80 |        332 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTOMATIC_TOKEN_REFRESH_SOLUTION.md                     | Markdown           |        115 |          0 |         34 |        149 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTO_LOGIN_BEST_PRACTICES.md                            | Markdown           |        252 |          1 |         76 |        329 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTO_LOGIN_SIGNUP_FIX.md                                | Markdown           |        210 |          3 |         77 |        290 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\BADGE_INTEGRATION_GUIDE.md                              | Markdown           |        636 |          0 |        128 |        764 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\CENTRALIZED_COOKIE_MANAGEMENT.md                        | Markdown           |        273 |          0 |         87 |        360 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\CLIENT_RATE_LIMITING_ANALYSIS.md                        | Markdown           |        156 |          0 |         49 |        205 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\COMPLETE_LOGIN_FIX.js                                   | JavaScript         |         23 |         90 |         10 |        123 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\COOKIE_CLEARING_BEST_PRACTICES.md                       | Markdown           |        132 |          0 |         47 |        179 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\COOKIE_SECURITY_BEST_PRACTICES.md                       | Markdown           |        284 |          0 |         85 |        369 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\DIAGNOSTIC_TESTING_PLAN.js                              | JavaScript         |         19 |        138 |          9 |        166 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\DIRECT_CLASS_USAGE_SUCCESS.md                           | Markdown           |         55 |          0 |         20 |         75 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\EMERGENCY_LOGIN_FIX.js                                  | JavaScript         |         18 |         75 |         10 |        103 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENHANCED_APP_PROVIDER_COMPATIBILITY.md                  | Markdown           |        135 |          0 |         55 |        190 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENHANCED_APP_PROVIDER_REAL_ENDPOINT_STATUS.md           | Markdown           |        100 |          0 |         44 |        144 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_ARCHITECTURE_GUIDE.md                        | Markdown           |        380 |          0 |        137 |        517 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_BADGE_INTEGRATION_COMPLETE.js                | JavaScript         |        170 |        141 |         45 |        356 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_COMPONENT_EXTRACTION_ANALYSIS.md             | Markdown           |        220 |          0 |         66 |        286 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_IMPLEMENTATION_SUCCESS.md                    | Markdown           |        151 |          0 |         72 |        223 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_MIGRATION_COMPLETE.md                        | Markdown           |        170 |          0 |         65 |        235 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_SIGNUP_COMPLETE.md                           | Markdown           |        240 |          0 |         78 |        318 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENVIRONMENT_LOADING_TIMING_ANALYSIS.md                  | Markdown           |        163 |          0 |         63 |        226 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\FETCHAUTH_VS_CLIENT_FEATURE_ANALYSIS.md                 | Markdown           |        229 |          0 |         69 |        298 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\FINAL_VICTORY_LOGIN_WORKING.js                          | JavaScript         |         32 |        116 |         10 |        158 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\FIXED_TOKEN_DELETION_ISSUE.js                           | JavaScript         |         46 |         79 |         14 |        139 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\GET_ALL_TASKS_ENTERPRISE_REFACTOR_SUMMARY.js            | JavaScript         |        355 |         10 |          4 |        369 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ICON_FIXES_COMPLETE.js                                  | JavaScript         |         65 |         14 |          7 |         86 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\INTERNAL_SERVER_ERROR_RESOLVED.js                       | JavaScript         |         20 |         73 |         10 |        103 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LEADERBOARD_IMPROVEMENTS_SUMMARY.md                     | Markdown           |        156 |          0 |         37 |        193 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LEADERBOARD_OPTIMIZATION_ANALYSIS.js                    | JavaScript         |          1 |        174 |         22 |        197 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LEADERBOARD_OPTIMIZATION_COMPLETE.js                    | JavaScript         |        156 |         77 |         29 |        262 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGIN_ACCESS_CRISIS_RESOLVED.js                         | JavaScript         |         21 |         90 |         10 |        121 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGIN_PAGE_ACCESS_FIXED.js                              | JavaScript         |         40 |        103 |         14 |        157 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGOUT_COOKIE_DECISION.md                               | Markdown           |         65 |          0 |         24 |         89 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGOUT_ENDPOINT_REFACTOR_SUCCESS.md                     | Markdown           |         59 |          0 |         23 |         82 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGOUT_FUNCTIONALITY_COMPLETE.js                        | JavaScript         |        228 |        206 |         24 |        458 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGOUT_IMPLEMENTATION_SUMMARY.js                        | JavaScript         |         24 |        264 |          4 |        292 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\MIDDLEWARE_DEBUG_BYPASS.js                              | JavaScript         |         20 |         96 |          9 |        125 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\MOBILE_BREAKPOINT_OPTIMIZATION.js                       | JavaScript         |        256 |         74 |         45 |        375 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\NEXTJS15_COMPATIBILITY_FIX.js                           | JavaScript         |         19 |         82 |         10 |        111 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PHASE2_COMPLETE.js                                      | JavaScript         |         14 |        159 |         16 |        189 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PHASE2_SUCCESS_CONFIRMED.js                             | JavaScript         |         29 |        109 |         16 |        154 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PHASE2_TESTING_GUIDE.js                                 | JavaScript         |         11 |        190 |         17 |        218 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PRINCIPAL_ENGINEER_ARCHIVE_RESPONSIVE_IMPLEMENTATION.md | Markdown           |        327 |          0 |        116 |        443 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PRODUCTION_BEHAVIOR_RESTORED.js                         | JavaScript         |         50 |        105 |         15 |        170 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PRODUCTION_REDIS_CRISIS_RESOLVED.md                     | Markdown           |        114 |          0 |         47 |        161 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PROFESSIONAL_DROPDOWN_THEMING_SOLUTION.md               | Markdown           |        258 |          0 |        101 |        359 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PROFESSIONAL_DROPDOWN_UX_ENHANCEMENT.md                 | Markdown           |        118 |          0 |         53 |        171 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\RBAC_IMPLEMENTATION_COMPLETE.js                         | JavaScript         |         19 |        172 |          3 |        194 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\README.md                                               | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIRECT_PREVENTION_FIX.js                              | JavaScript         |         44 |         66 |         13 |        123 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_CONFIGURATION_FIX_COMPLETE.md                     | Markdown           |        139 |          0 |         58 |        197 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_DEBUGGING_ANALYSIS.md                             | Markdown           |        116 |          0 |         47 |        163 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_ISSUE_RESOLVED_SUCCESS.md                         | Markdown           |         84 |          0 |         36 |        120 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_VARIABLE_REDUNDANCY_EXPLANATION.md                | Markdown           |        158 |          0 |         53 |        211 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_WARNING_ANALYSIS_TASK_COMPLETION.md               | Markdown           |        145 |          0 |         57 |        202 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REFRESHAPI_VS_COOKIESERVICE_ANALYSIS.md                 | Markdown           |        257 |          0 |        105 |        362 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\RESPONSIVE_ARCHIVE_COMPLETE.js                          | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SCORE_ADJUSTMENTS_ONLY_CORRECTED.js                     | JavaScript         |         13 |        132 |          3 |        148 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SCORE_BUG_ANALYSIS.md                                   | Markdown           |         42 |          0 |         23 |         65 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SCORE_ENDPOINTS_ENTERPRISE_REFACTOR_SUMMARY.js          | JavaScript         |        413 |         10 |          4 |        427 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SCORE_PERSISTENCE_FIX_COMPLETE.js                       | JavaScript         |         12 |        114 |          3 |        129 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SERVER_SIDE_AUTH_OPTIMIZATION_COMPLETE.md               | Markdown           |         96 |          0 |         35 |        131 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SERVER_SIDE_SCORE_LOADING_COMPLETE.js                   | JavaScript         |         13 |        128 |          3 |        144 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SMART_CONDITIONAL_AUTH_SUCCESS.js                       | JavaScript         |         25 |        102 |         11 |        138 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SMART_LOGOUT_SECURITY_FIX.js                            | JavaScript         |         72 |         86 |         20 |        178 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SYNTAX_FIXES_COMPLETE.js                                | JavaScript         |         39 |         15 |          8 |         62 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TASK_COMPLETION_ENTERPRISE_REFACTOR_SUMMARY.js          | JavaScript         |        395 |         10 |          4 |        409 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TOKEN_DELETION_FIX_SUMMARY.js                           | JavaScript         |         37 |         33 |          6 |         76 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TOKEN_REFRESH_IMPLEMENTATION.md                         | Markdown           |        100 |          0 |         34 |        134 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TOKEN_STATUS_ENTERPRISE_REFACTOR.md                     | Markdown           |        213 |          0 |         81 |        294 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TOKEN_STATUS_REFACTOR_SUMMARY.md                        | Markdown           |         75 |          0 |         28 |        103 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ZERO_DELAY_LEADERBOARD_ACHIEVEMENT.js                   | JavaScript         |        153 |         96 |         33 |        282 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\__mocks__\fileMock.js                                   | JavaScript         |          1 |          1 |          1 |          3 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\aggressive-badge-fix.html                               | HTML               |        213 |         10 |         11 |        234 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\complete-auth-test.html                                 | HTML               |        317 |          0 |         28 |        345 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\components.json                                         | JSON               |         21 |          0 |          0 |         21 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\cookie-security-fix-summary.js                          | JavaScript         |         73 |          5 |          5 |         83 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\customclasses-feature-showcase.html                     | HTML               |        323 |         14 |         25 |        362 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\debug-redis.js                                          | JavaScript         |         41 |          4 |          9 |         54 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\debug-score.ts                                          | TypeScript         |         71 |          6 |         15 |         92 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\ADDTASK_FETCHAUTH_REFACTOR.md                      | Markdown           |        315 |          0 |         77 |        392 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\ADJUSTSCORE_SECUREENDPOINT_REFACTOR.md             | Markdown           |        260 |          0 |         55 |        315 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\BUG_FIX_SUMMARY.md                                 | Markdown           |         84 |          0 |         24 |        108 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\COOKIE_DEBUGGING_GUIDE.md                          | Markdown           |        150 |          0 |         60 |        210 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\DEVELOPMENT_UTILITIES_GUIDE.md                     | Markdown           |        252 |          0 |         92 |        344 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\ENHANCED_RATE_LIMITING_GUIDE.md                    | Markdown           |        298 |          0 |        102 |        400 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\LOGIN_ENDPOINT_REFACTOR.md                         | Markdown           |        283 |          0 |         71 |        354 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\LOGOUT_ENDPOINT_REFACTOR.md                        | Markdown           |        287 |          0 |         71 |        358 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\PERMISSION_SYSTEM_EXPLANATION.md                   | Markdown           |        184 |          0 |         43 |        227 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\ROLE_SYSTEM_GUIDE.md                               | Markdown           |        227 |          0 |         52 |        279 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\SCORE_SERVICE_INTEGRATION.md                       | Markdown           |        287 |          0 |        107 |        394 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\SECURE_ENDPOINT_ENHANCEMENT_GUIDE.md               | Markdown           |        269 |          0 |         61 |        330 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\TOKEN_REFRESH_IMPLEMENTATION.md                    | Markdown           |        127 |          0 |         41 |        168 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\blueprint.md                                       | Markdown           |         16 |          0 |          4 |         20 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\eslint.config.mjs                                       | JavaScript         |         12 |          0 |          5 |         17 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\examples\enhanced-addtask-example.ts                    | TypeScript         |        157 |         75 |         22 |        254 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\examples\rate-limiting-migration-examples.ts            | TypeScript         |          0 |        297 |         12 |        309 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\examples\secure-addtask-example.ts                      | TypeScript         |         58 |         51 |         11 |        120 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\frontend-token-management-strategy.js                   | JavaScript         |        314 |         92 |         57 |        463 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\integration-roadmap.js                                  | JavaScript         |        156 |          7 |          6 |        169 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\jest.config.js                                          | JavaScript         |         46 |         15 |         14 |         75 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\jest.setup.js                                           | JavaScript         |         76 |          8 |          8 |         92 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\next.config.ts                                          | TypeScript         |         28 |          2 |          4 |         34 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\package-lock.json                                       | JSON               |     15,133 |          0 |          1 |     15,134 |
| c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\package.json                                            | JSON               |         96 |          0 |          1 |         97 |
